municipality,state,city
Abanda CDP,AL,Abanda
Abbeville city,AL,Abbeville
Adamsville city,AL,Adamsville
Addison town,AL,Addison
Akron town,AL,Akron
Alabaster city,AL,Alabaster
Albertville city,AL,Albertville
Alexander City city,AL,Alexander City
Alexandria CDP,AL,Alexandria
Aliceville city,AL,Aliceville
Allgood town,AL,Allgood
Altoona town,AL,Altoona
Andalusia city,AL,Andalusia
Anderson town,AL,Anderson
Anniston city,AL,Anniston
Arab city,AL,Arab
Ardmore town,AL,Ardmore
Argo town,AL,Argo
Ariton town,AL,Ariton
Arley town,AL,Arley
Ashford town,AL,Ashford
Ashland town,AL,Ashland
Ashville city,AL,Ashville
Athens city,AL,Athens
Atmore city,AL,Atmore
Attalla city,AL,Attalla
Auburn city,AL,Auburn
Autaugaville town,AL,Autaugaville
Avon town,AL,Avon
Axis CDP,AL,Axis
Babbie town,AL,Babbie
Baileyton town,AL,Baileyton
Bakerhill town,AL,Bakerhill
Ballplay CDP,AL,Ballplay
Banks town,AL,Banks
Bay Minette city,AL,Bay Minette
Bayou La Batre city,AL,Bayou La Batre
Bear Creek town,AL,Bear Creek
Beatrice town,AL,Beatrice
Beaverton town,AL,Beaverton
Belgreen CDP,AL,Belgreen
Belk town,AL,Belk
Bellamy CDP,AL,Bellamy
Belle Fontaine CDP,AL,Belle Fontaine
Benton town,AL,Benton
Berlin town,AL,Berlin
Berry town,AL,Berry
Bessemer city,AL,Bessemer
Billingsley town,AL,Billingsley
Birmingham city,AL,Birmingham
Black town,AL,Black
Blountsville town,AL,Blountsville
Blue Ridge CDP,AL,Blue Ridge
Blue Springs town,AL,Blue Springs
Boaz city,AL,Boaz
Boligee town,AL,Boligee
Bon Air town,AL,Bon Air
Bon Secour CDP,AL,Bon Secour
Boykin CDP,AL,Boykin
Brantley town,AL,Brantley
Brantleyville CDP,AL,Brantleyville
Brent city,AL,Brent
Brewton city,AL,Brewton
Bridgeport city,AL,Bridgeport
Brighton city,AL,Brighton
Brilliant town,AL,Brilliant
Bristow Cove CDP,AL,Bristow Cove
Brook Highland CDP,AL,Brook Highland
Brookside town,AL,Brookside
Brookwood town,AL,Brookwood
Broomtown CDP,AL,Broomtown
Brundidge city,AL,Brundidge
Bucks CDP,AL,Bucks
Butler town,AL,Butler
Calera city,AL,Calera
Calvert CDP,AL,Calvert
Camden city,AL,Camden
Camp Hill town,AL,Camp Hill
Carbon Hill city,AL,Carbon Hill
Cardiff town,AL,Cardiff
Carlisle-Rockledge CDP,AL,Carlisle-Rockledge
Carlton CDP,AL,Carlton
Carolina town,AL,Carolina
Carrollton town,AL,Carrollton
Castleberry town,AL,Castleberry
Catherine CDP,AL,Catherine
Cedar Bluff town,AL,Cedar Bluff
Center Point city,AL,Center Point
Centre city,AL,Centre
Centreville city,AL,Centreville
Chatom town,AL,Chatom
Chelsea city,AL,Chelsea
Cherokee town,AL,Cherokee
Chickasaw city,AL,Chickasaw
Childersburg city,AL,Childersburg
Choccolocco CDP,AL,Choccolocco
Chunchula CDP,AL,Chunchula
